id,scientific_name,common_name,issue,level,parts,notes,reason
AAA0368,Cornus alternifolia,Alternate-Leaved Dogwood,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0369,Cornus controversa,Giant Dogwood,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0372,Cornus mas,Cornelian Cherry,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0378,Costus speciosus,Crêpe Ginger,unsupported_level,faint,flower,Light fresh scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0381,Crassula ovata,Jade Plant,unsupported_level,faint,flower,Starry clusters of small flowers have a faint sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0386,Crocosmia aurea,Falling Stars,unsupported_level,faint,flower,mild saffron-like when dried,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0388,Crocus vernus,Spring Crocus,unsupported_level,faint,flower,Light honey scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0390,Cryptomeria japonica,Sugi,non_flower_fragrance_hidden,moderate,"leaf,wood",Crushed foliage and cut wood release aromatic cedar-like fragrance.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0392,Cucumis sativus,Cucumber,unsupported_level,faint,"leaf,fruit",Fresh green aroma.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0392,Cucumis sativus,Cucumber,non_flower_fragrance_hidden,faint,"leaf,fruit",Fresh green aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0400,Cupressus arizonica,Arizona Cypress,non_flower_fragrance_hidden,moderate,leaf,Pungent resinous cypress scent.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0401,Cupressus sempervirens,Mediterranean Cypress,non_flower_fragrance_hidden,moderate,"leaf,wood",Warm resinous cedar-like scent from foliage and cut wood.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0402,Curcuma longa,Turmeric,non_flower_fragrance_hidden,moderate,root,Earthy musky-ginger aroma from rhizomes.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0404,Cyclamen persicum,Persian Cyclamen,unsupported_level,faint,flower,Some cultivars are bred for fragrance; most modern florist types have little scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0406,Cymbidium goeringii,Noble Orchid,level_too_high_for_note,moderate,flower,"Subtle complex fragrance famously celebrated in Chinese literature — the ""scent of the empty valley.""",Fragrance note sounds weaker than the stored level.
AAA0407,Cymbopogon citratus,Lemon Grass,non_flower_fragrance_hidden,strong,leaf,Intense fresh lemon citrus aroma from citral content.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0409,Cynara cardunculus,Artichoke Thistle,unsupported_level,faint,flower,Mild thistle-honey aroma from open flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0411,Cyperus esculentus,Yellow Nutsedge,unsupported_level,faint,tuber,Tubers sweet and nutty-flavored; plant mostly scentless.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0411,Cyperus esculentus,Yellow Nutsedge,non_flower_fragrance_hidden,faint,tuber,Tubers sweet and nutty-flavored; plant mostly scentless.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0414,Cyperus rotundus,Purple Nutsedge,non_flower_fragrance_hidden,moderate,tuber,"Tubers aromatic, earthy-camphor scented; leaves faintly grassy.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0427,Daucus carota,Wild Carrot,unsupported_level,faint,"leaf,root",Distinctive carrot aroma in crushed foliage and roots.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0427,Daucus carota,Wild Carrot,non_flower_fragrance_hidden,faint,"leaf,root",Distinctive carrot aroma in crushed foliage and roots.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0432,Deutzia crenata,Deutzia,unsupported_level,faint,flower,Flowers very lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0433,Deutzia gracilis,Slender Deutzia,unsupported_level,faint,flower,"Light sweet scent, not strong.",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0433,Deutzia gracilis,Slender Deutzia,level_too_low_for_note,faint,flower,"Light sweet scent, not strong.",Fragrance note sounds stronger than the stored level.
AAA0434,Deutzia purpurascens,Deutzia purpurascens,unsupported_level,faint,flower,Flowers lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0435,Deutzia scabra,Deutzia,unsupported_level,faint,flower,Mild sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0436,Deutzia x hybrida,Deutzia x hybrida,unsupported_level,faint,flower,Flowers lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0439,Dianthus chinensis,Chinese-Pink,unsupported_level,faint,flower,Faint spicy-sweet clove scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0440,Dianthus deltoides,Maiden Pink,unsupported_level,faint,flower,"Very faint scent, much less pronounced than cottage pink.",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0442,Dianthus knappii,Yellow Pink,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0442,Dianthus knappii,Yellow Pink,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0456,Diplotaxis tenuifolia,Perennial Wall-Rocket,non_flower_fragrance_hidden,moderate,leaf,Sharp peppery mustard aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0460,Dracaena marginata,Dracaena Reflexa,unsupported_level,faint,flower,"Rare indoor flowers have a mild sweet scent, most noticeable at night.",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0461,Dracaena reflexa,Song Of India,unsupported_level,faint,flower,Faint floral scent when blooming.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0475,Echinacea angustifolia,Narrow-Leaved Purple Coneflower,unsupported_level,faint,flower,Mild honey scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0478,Echinacea purpurea,Purple Coneflower,unsupported_level,faint,flower,Mild honey-like scent attractive to bees and butterflies.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0482,Eichhornia crassipes,Common Water Hyacinth,unsupported_level,faint,flower,Light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0484,Elettaria cardamomum,Green Cardamom,non_flower_fragrance_hidden,strong,seed,Intense sweet-eucalyptus-citrus aroma from crushed seeds.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0497,Eremurus robustus,Foxtail Lily,unsupported_level,faint,flower,Flowers very lightly honey-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0498,Erigeron canadensis,Horseweed,unsupported_level,faint,leaf,Foliage faintly aromatic when crushed.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0498,Erigeron canadensis,Horseweed,non_flower_fragrance_hidden,faint,leaf,Foliage faintly aromatic when crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0499,Eriogonum arborescens,Santa Cruz Island Wild Buckwheat,unsupported_level,faint,flower,Honey-like scent attracting pollinators.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0500,Eriogonum fasciculatum,California Buckwheat,unsupported_level,faint,flower,Sweet honey-like scent attracting pollinators.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0501,Eruca sativa,Rocket Salad,non_flower_fragrance_hidden,moderate,leaf,Peppery-mustard aroma when bruised.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0507,Eucomis bicolor,Variegated Pineapple Lily,unsupported_level,faint,flower,Flowers very lightly musty-sweet.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0508,Eucomis comosa,Crown Pineapple Lily,unsupported_level,faint,flower,"mild, sometimes unpleasant",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0512,Euonymus japonicus,Japanese Spindle Tree,unsupported_level,faint,flower,Mild scent—some find unpleasant.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0513,Eupatorium purpureum,Spotted Joe-Pye Weed,level_too_high_for_note,moderate,flower,"Light sweet vanilla-scented flowers (hence ""sweet-scented"" common name), stronger than related species.",Fragrance note sounds weaker than the stored level.
AAA0522,Eustoma grandiflorum,Showy Prairie Gentian,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0522,Eustoma grandiflorum,Showy Prairie Gentian,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0523,Exochorda giraldii,Exochorda Racemosa,unsupported_level,faint,flower,Flowers very lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0524,Exochorda racemosa,Pearl Bush,unsupported_level,faint,flower,Mild sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0527,Fallopia japonica,Japanese Knotweed,unsupported_level,faint,flower,Light honey scent attracting bees.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0535,Ficus carica,Common Fig,unsupported_level,faint,"fruit,leaf","Distinctive green-milky fig aroma, especially from crushed leaves.",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0535,Ficus carica,Common Fig,non_flower_fragrance_hidden,faint,"fruit,leaf","Distinctive green-milky fig aroma, especially from crushed leaves.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0542,Foeniculum vulgare,Fennel,non_flower_fragrance_hidden,strong,"leaf,seed",Sweet anise-licorice aroma from anethole.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0546,Fragaria x ananassa,Strawberry,non_flower_fragrance_hidden,moderate,fruit,Distinctive sweet strawberry aroma from furaneol and other volatiles.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0555,Fritillaria persica,Sand Fritillary,unsupported_level,faint,bulb,Bulbs faintly musky; flowers nearly scentless.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0555,Fritillaria persica,Sand Fritillary,non_flower_fragrance_hidden,faint,bulb,Bulbs faintly musky; flowers nearly scentless.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0560,Galanthus elwesii,Greater Snowdrop,unsupported_level,faint,flower,Flowers lightly honey-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0561,Galanthus nivalis,Common Snowdrop,unsupported_level,faint,flower,Flowers lightly honey-scented on warm days.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0563,Galinsoga quadriradiata,Shaggy Soldier,unsupported_level,faint,leaf,"Foliage faintly earthy-herbal, distinctive in Colombian cuisine.",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0563,Galinsoga quadriradiata,Shaggy Soldier,non_flower_fragrance_hidden,faint,leaf,"Foliage faintly earthy-herbal, distinctive in Colombian cuisine.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0571,Geranium macrorrhizum,Rock Crane's-Bill,non_flower_fragrance_hidden,strong,"leaf,root","aromatic, resinous, pine-like",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0574,Geranium sanguineum,Bloody Crane's-Bill,unsupported_level,faint,leaf,Mild musky scent when leaves are crushed.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0574,Geranium sanguineum,Bloody Crane's-Bill,non_flower_fragrance_hidden,faint,leaf,Mild musky scent when leaves are crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0578,Geum rivale,Water Avens,non_flower_fragrance_hidden,moderate,root,Roots strongly clove-scented; flowers and leaves barely scented.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0580,Ginkgo biloba,Ginkgo,non_flower_fragrance_hidden,strong,fruit,Fleshy seed coat of female trees has a strong rancid-butter / vomit smell when ripe — the main reason only male trees are planted in streets.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0583,Gladiolus nanus,Late Bobbejaantjie,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0586,Glechoma hederacea,Ground-Ivy,non_flower_fragrance_hidden,moderate,leaf,Foliage minty-resinous when crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0587,Gleditsia japonica,Japanese Honey Locust,unsupported_level,faint,flower,Mild sweet pea-like scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0602,Hedera helix,Common Ivy,unsupported_level,faint,flower,Autumn flowers have a faint musky scent attractive to late-season pollinators.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0604,Helianthus annuus,Common Sunflower,unsupported_level,faint,flower,Mild pollen scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0607,Helichrysum petiolare,Licorice Plant,unsupported_level,faint,leaf,Faint licorice-like scent from crushed foliage.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0607,Helichrysum petiolare,Licorice Plant,non_flower_fragrance_hidden,faint,leaf,Faint licorice-like scent from crushed foliage.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0613,Hemerocallis fulva,Orange Day-Lily,unsupported_level,faint,flower,Most daylilies are weakly scented; some modern cultivars have been bred for stronger fragrance.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0617,Heracleum mantegazzianum,Giant Hogweed,unsupported_level,faint,flower,Light musky scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0632,Hosta fortunei,Hosta Sieboldiana,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0632,Hosta fortunei,Hosta Sieboldiana,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0634,Hosta montana,Hosta Sieboldiana,unsupported_level,faint,flower,mild sweet,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0635,Hosta nigrescens,Hosta,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0635,Hosta nigrescens,Hosta,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0638,Hosta sieboldii,Small-Leaved Plantain Lily,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0638,Hosta sieboldii,Small-Leaved Plantain Lily,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0640,Hosta ventricosa,Blue Plantain-Lily,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0640,Hosta ventricosa,Blue Plantain-Lily,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0650,Hydrangea anomala,Chinese Hydrangea,unsupported_level,faint,flower,Mild honey-like scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0651,Hydrangea arborescens,Wild Hydrangea,unsupported_level,faint,flower,Light honey scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0652,Hydrangea aspera,Rough-Leaved Hydrangea,unsupported_level,faint,flower,Mild sweet fragrance.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0653,Hydrangea heteromalla,Hydrangea heteromalla,unsupported_level,faint,flower,Flowers lightly honey-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0655,Hydrangea macrophylla,Mophead Hydrangea,unsupported_level,faint,flower,Light honey-like scent at close range; most cultivars are weakly fragrant.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0656,Hydrangea paniculata,Panicle Hydrangea,unsupported_level,faint,flower,Light honey scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0657,Hydrangea petiolaris,Climbing Hydrangea,unsupported_level,faint,flower,Mild honey scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0658,Hydrangea quercifolia,Oakleaf Hydrangea,unsupported_level,faint,flower,Light honey scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0659,Hydrangea serrata,Mountain Hydrangea,unsupported_level,faint,flower,Mild sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0660,Hypericum calycinum,Rose-Of-Sharon,unsupported_level,faint,leaf,Mild resinous scent when leaves crushed.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0660,Hypericum calycinum,Rose-Of-Sharon,non_flower_fragrance_hidden,faint,leaf,Mild resinous scent when leaves crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0661,Hypericum perforatum,Common St. John's Wort,unsupported_level,faint,flower,Mild herbal scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0663,Hyssopus officinalis,Hyssop,non_flower_fragrance_hidden,strong,leaf,Pungent mint-camphor-sage aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0664,Ilex aquifolium,European Holly,unsupported_level,faint,flower,Male flowers mildly honey-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0665,Ilex cornuta,Chinese Holly,unsupported_level,faint,flower,Mild sweet scent from flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0668,Ilex opaca,American Holly,unsupported_level,faint,flower,Mild honey-like scent from male flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0669,Ilex vomitoria,Yaupon Holly,unsupported_level,faint,flower,Mild honey-like scent from male flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0670,Ilex x meserveae,Ilex x meserveae,unsupported_level,faint,flower,Mild sweet scent from male flowers.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0672,Illicium parviflorum,Yellow Anise,non_flower_fragrance_hidden,strong,leaf,Powerful sweet anise-licorice fragrance when leaves crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0681,Ipomoea purpurea,Common Morning-Glory,unsupported_level,faint,flower,Flowers have a very faint sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0682,Ipomoea tricolor,Garden Morning Glory,unsupported_level,faint,flower,Very faint sweet scent in morning.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0685,Iris douglasiana,Douglas Iris,unsupported_level,faint,flower,Light delicate scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0686,Iris ensata,Japanese Iris,unsupported_level,faint,flower,Light violet-like scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0688,Iris hollandica,Iris × Hollandica,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0689,Iris munzii,Munz's Iris,unsupported_level,faint,flower,Light delicate scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0691,Iris pseudacorus,Yellow Iris,unsupported_level,faint,flower,Light delicate scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0692,Iris reticulata,Netted Iris,unsupported_level,faint,flower,mild violet-like,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0693,Iris sibirica,Siberian Iris,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0694,Iris versicolor,Northern Blue Flag,unsupported_level,faint,flower,Light delicate scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0695,Itea japonica,Itea japonica,unsupported_level,faint,flower,Flowers lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0697,Ixora coccinea,Jungle Flame,unsupported_level,faint,flower,Light sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0702,Juniperus chinensis,Chinese Juniper,non_flower_fragrance_hidden,moderate,"leaf,wood",Crushed foliage and cut wood emit classic aromatic juniper scent.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0703,Juniperus communis,Common Juniper,non_flower_fragrance_hidden,moderate,"leaf,fruit","Resinous, piney, gin-like aroma from crushed foliage and berries.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0704,Juniperus conferta,Shore Juniper,non_flower_fragrance_hidden,moderate,"leaf,wood",Resinous juniper aroma from crushed needles and wood.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0705,Juniperus horizontalis,Creeping Juniper,non_flower_fragrance_hidden,moderate,leaf,Resinous juniper scent.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0706,Juniperus scopulorum,Rocky Mountain Juniper,non_flower_fragrance_hidden,strong,"leaf,wood",Resinous juniper-cedar aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0707,Juniperus squamata,Flaky Juniper,non_flower_fragrance_hidden,moderate,leaf,Resinous juniper scent.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0708,Juniperus virginiana,Eastern Redcedar,non_flower_fragrance_hidden,strong,"leaf,wood","Classic cedar-chest aroma—warm, resinous, insect-repellent.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0717,Koelreuteria paniculata,Golden Rain Tree,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0718,Kolkwitzia amabilis,Beauty Bush,unsupported_level,faint,flower,Flowers lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0719,Laburnum anagyroides,Common Laburnum,unsupported_level,faint,flower,mild sweet,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0720,Laburnum x watereri,Golden Chain Tree,unsupported_level,faint,flower,mild sweet,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0724,Lagerstroemia fauriei,Lagerstroemia Subcostata,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0728,Lamium purpureum,Red Deadnettle,unsupported_level,faint,leaf,Foliage faintly resinous when crushed.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0728,Lamium purpureum,Red Deadnettle,non_flower_fragrance_hidden,faint,leaf,Foliage faintly resinous when crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0730,Lamprocapnos spectabilis,Asian Bleeding-Heart,unsupported_level,faint,flower,Flowers lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0731,Lantana camara,Common Lantana,non_flower_fragrance_hidden,moderate,leaf,"Pungent, somewhat acrid herbal aroma when leaves are crushed; flowers mildly sweet.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0732,Lantana montevidensis,Creeping Lantana,unsupported_level,faint,leaf,Strong pungent scent from crushed leaves — somewhat divisive; flowers are mildly honey-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0732,Lantana montevidensis,Creeping Lantana,non_flower_fragrance_hidden,faint,leaf,Strong pungent scent from crushed leaves — somewhat divisive; flowers are mildly honey-scented.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0732,Lantana montevidensis,Creeping Lantana,level_too_low_for_note,faint,leaf,Strong pungent scent from crushed leaves — somewhat divisive; flowers are mildly honey-scented.,Fragrance note sounds stronger than the stored level.
AAA0733,Laurus nobilis,Bay Laurel,non_flower_fragrance_hidden,strong,leaf,Warm herbal-camphor aroma from fresh or dried leaves.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0738,Layia platyglossa,Tidy Tips,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0738,Layia platyglossa,Tidy Tips,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0741,Leucanthemum paludosum,Mini-Marguerite,unsupported_level,faint,leaf,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0741,Leucanthemum paludosum,Mini-Marguerite,non_flower_fragrance_hidden,faint,leaf,,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0741,Leucanthemum paludosum,Mini-Marguerite,missing_notes,faint,leaf,,Non-none fragrance should have notes for the card copy.
AAA0743,Leucanthemum x superbum,Shasta Daisy,unsupported_level,faint,flower,mild herbaceous,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0744,Leucojum aestivum,Summer Snowflake,unsupported_level,faint,flower,"Flowers lightly sweet, faintly chocolate-scented.",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0745,Leucojum vernum,Spring Snowflake,unsupported_level,faint,flower,"Flowers lightly sweet, faintly violet-scented.",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0746,Leucophyllum laevigatum,Leucophyllum laevigatum,level_too_high_for_note,moderate,flower,Sweet light lavender fragrance.,Fragrance note sounds weaker than the stored level.
AAA0747,Leucophyllum langmaniae,Leucophyllum langmaniae,unsupported_level,faint,leaf,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0747,Leucophyllum langmaniae,Leucophyllum langmaniae,non_flower_fragrance_hidden,faint,leaf,,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0747,Leucophyllum langmaniae,Leucophyllum langmaniae,missing_notes,faint,leaf,,Non-none fragrance should have notes for the card copy.
AAA0749,Leucothoe populifolia,Agarista Populifolia,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0749,Leucothoe populifolia,Agarista Populifolia,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0750,Levisticum officinale,Lovage,non_flower_fragrance_hidden,strong,"leaf,root",Intense celery-yeast-curry aroma.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0755,Ligularia fischeri,Fischer’s Ragwort,non_flower_fragrance_hidden,moderate,leaf,"Young leaves with distinct aromatic, slightly resinous scent valued in Korean cuisine.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0761,Lilium henryi,Henry's Lily,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0762,Lilium lancifolium,Tiger Lily,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0768,Linaria maroccana,Annual Toadflax,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0768,Linaria maroccana,Annual Toadflax,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0770,Liquidambar formosana,Chinese Sweetgum,non_flower_fragrance_hidden,moderate,"leaf,wood",Aromatic balsamic resin when bark or leaves are bruised.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0771,Liriodendron tulipifera,American Tuliptree,unsupported_level,faint,flower,"Flowers have a light, sweet scent.",Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0774,Lithops lesliei,Lithops lesliei,unsupported_level,faint,flower,Flowers have a faint sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0783,Lonicera sempervirens,Coral Honeysuckle,unsupported_level,faint,flower,Faint or no scent—unlike the heavily fragrant L. japonica. Pollinated by hummingbirds (sight-based) rather than scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0785,Loropetalum chinense,Chinese Fringe Flower,unsupported_level,faint,flower,Mild sweet scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
